Years of Education after High School,Requested Credit Amount,Number of Dependents,Monthly Income,Monthly Expense,Marital Status,Credit Rating
1,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Negative
2,Medium,More than 2,Very low,Very low,Married,Positive
2,Medium,More than 2,Very low,Very low,Married,Positive
7,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Single,Positive
4,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Negative
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
4,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
